title,desc,access,publisher,contact,email,bureauCode
State and Community Energy Progralms,"The Office of State and Community Energy Programs was established in January 2022 and is responsible for managing a portfolio of nearly $6 billion in funding from the Bipartisan Infrastructure Law and annual appropriations. 

The Office of State and Community Energy Programs works with state and local organizations to significantly accelerate the deployment of clean energy technologies, catalyze local economic development and create jobs, reduce energy costs, and avoid pollution through place-based strategies involving a wide range of government, community, business and other stakeholders.  

Foundational programs like the Weatherization Assistance Program and State Energy Program, which both have more than 40 years of successfully delivering energy savings across the country, will complement newly formed programs such as the Local Government Energy Program and Energy Futures Grants, enabling DOE to work for the first time ever, with local governments and communities for the long term.  

Through the disbursement of formula grants, DOE will extend the core capabilities of state energy offices and expand the weatherization provider network to assist low-income families with home energy retrofits. Competitive awards will further the innovation by states and local governments seeking to implement high-impact and self-sustaining clean energy projects. In addition, technical assistance will help to facilitate clean energy programs and practices through ""best practice"" tools, “lead-by-example” methods, peer-to-peer forums, and other strategic partnerships.",public,Office of State and Community Energy Programs,Henry McKoy,henry.mckoy@hq.doe.gov,015:11
Technology Transitions,"The Office of Technology Transitions (OTT) serves as the central hub for the technology transfer activities across the Department of Energy’s extensive R&D enterprise. At OTT, we work to ensure groundbreaking scientific discoveries achieve their maximum public return and impact, advancing the economic, energy, and national security interests of the United States. Getting that done means streamlining access to our user facilities at our 17 National Labs and sites, our world-class scientific researchers, and our sprawling portfolio of intellectual property – fostering strong internal and external partnerships that guide innovations from the lab toward the marketplace.

Technology transfer is a complex and dynamic process, and OTT is here to help you connect with DOE-powered innovation to advance discoveries and commercialize transformative, impactful technologies.",public,Office of Technology Transitions,Robert Bectel,robert.bectel@hq.doe.gov,015:11
U.S. Department of Energy Budget,This webpage provides links to the current and past U.S. Department of Energy budgets.,public,Headquarters,DOE Budget Office,The.Secretary@hq.doe.gov,019:00
U.S. Department of Energy Budget Justifications,This webpage contains current and past U.S. Department of Energy budget justifications.  The link will go to the 2019 budget.  Justifications for other years can be obtained by clicking on Budget and then selecting the justification link for the desired budget year.,public,Headquarters,Budget Office,The.Secretary@hq.doe.gov,019:00
U.S. Department of Energy Performance Reports,This webpage contains U.S. Department of Energy performance reports for current and past years.,public,Headquarters,Budget Office,The.Secretary@hq.doe.gov,019:00
DOE Legacy Management Sites,"Each point is a representation of an U.S. Department of Energy Office of Legacy Management (LM) site. The coordinates of each site point are either the location of a site monument, the centroid of the site boundary, or a general location of the site. This dataset is automatic synchronized with the LM environmental database on a weekly basis. The location and attributes of each site are maintained within the LM environmental database.",public,"Department of Energy Office of Legacy Management, Technical Data Manager",Technical Data Manager,gis@lm.doe.gov,015:11
Legacy Management Public Website,"To fulfill the Department's post-closure responsibilities and ensure the future protection of human health and the environment. Legacy Management has control and custody for legacy land, structures, and facilities and is responsible for maintaining them at levels consistent with Departmental long-term plans.",public,DOE Office of Legacy Management,Technical Data Manager,gis@lm.doe.gov,015:11
Legacy Management Geospatial Environmental Mapping System,"Geospatial Environmental Mapping System (GEMS) provides geospatial layers and access to dynamic mapping and environmental monitoring data for LM sites.  Analytical chemistry data, groundwater depths and elevations, well logs, well construction data, georeferenced boundaries, sampling locations and photo's are available via GEMS.",public,DOE Office of Legacy Management,LM Technical Data Manager,gis@lm.doe.gov,015:11
Legacy Management Remote Sites Telemetry Data,"System Operation and Analysis at Remote Sites (SOARS) used by LM scientists, regulators and stakeholders; providing real-time data for evaluating progress of groundwater remediation at distant project sites.  Data collected from flow meters, water level meters, pressure sensors, unsaturated zone water-flux meters, moisture sensors, water quality instruments and meterological instruments.",restricted public,DOE Office of Legacy Management,LM Technical Data Manager,gis@lm.doe.gov,015:11
DOE Legacy Management Site Boundaries,"Each feature within this dataset is the authoritative representation of the boundary of each U.S. Department of Energy Office of Legacy Management (LM) site listed as a current in the Site Management Guide (https://www.energy.gov/lm/downloads/site-management-guide). The dataset includes boundaries from Puerto Rico to Alaska and is only applicable to the extents contained within the dataset. All features are maintained as derived boundaries that were created by combining all component extents defined by a legal description for Category 1, 2, and 3 sites or a historic report for Category 1 sites as defined in the Site Management Guide. A general description of the components is included in the feature attributes. The dataset was designed to align with the NGDA Real Property Theme (https://www.fgdc.gov/initiatives/ngda-management-plan).",public,"Department of Energy Office of Legacy Management, Technical Data Manager",Technical Data Manager,gis@lm.doe.gov,015:11
DOE Legacy Management Sample Locations,"Each feature within this dataset is the authoritative representation of the location of a sample within the U.S. Department of Energy (DOE) Office of Legacy Management (LM) Environmental Database. The dataset includes sample locations from Puerto Rico to Alaska, with point features representing different types of sample locations such as boreholes, wells, geoprobes, etc. All sample locations are maintained within the LM Environmental Database, with feature attributes defined within the associated data dictionary.",public,Office of Legacy Management,Technical Data Manager,gis@lm.doe.gov,015:11
Yucca Mountain License Support Network (LSN),DOE has preserved its Licensing Support Network (LSN) Collection of some 3.6 million documents and over 30 million pages relevant to the Yucca Mountain licensing proceeding.  Prior to Aug. 2011 it was available to the public via the NRC website.,restricted public,DOE Office of Legacy Management,John Montgomery,John.Montgomery@lm.doe.gov,015:11
Fossil Energy and Carbon Management News Feed,"U.S. Department of Energy, Office of Fossil Energy and Carbon Management (FECM) Press Releases and Techlines",public,DOE/Office of Fossil Energy,Marc Willis,Marc.Willis@hq.doe.gov,015:11
NETL's Carbon Capture and Storage Database,"NETL's Carbon Capture and Storage Database includes active, proposed, canceled, and terminated CCS projects worldwide. Information in the database regarding technologies being developed for capture, evaluation of sites for carbon dioxide (CO2) storage, estimation of project costs, and anticipated dates of completion is sourced from publicly available information. The CCUS Database provides the public with information regarding efforts by various industries, public groups, and governments towards development and eventual deployment of CCUS technology. This is an active database that will be updated as information regarding these or new projects are released to the public.",public,DOE/Office of Fossil Energy,NETL Projects,netl.ccsprojectlist@netl.doe.gov,015:11
Energy Data Exchange,"EDX is the Department of Energy (DOE)/Fossil Energy Carbon Management (FECM) virtual library and data laboratory built to find, connect, curate, use and re-use data to advance fossil energy and environmental R&D. Developed and maintained by the National Energy Technology Laboratory (NETL), EDX supports the entire life cycle of data by offering secure, private collaborative workspaces for ongoing research projects until they mature and become catalogued, curated, and published. EDX adheres to DOE Cyber policies as well as domestic and international standards for data curation and citation. This ensures data products pushed public via EDX are afforded a citation for proper accreditation and complies with journal publication requirements.",restricted public,DOE/Office of Fossil Energy,EDX Support,EDXSupport@netl.doe.gov,015:11
Lifecycle Assessment/Analysis (LCA),"Life Cycle Analysis (LCA) is a comprehensive form of analysis that utilizes the principles of Life Cycle Assessment, Life Cycle Cost Analysis, and various other methods to evaluate the environmental, economic, and social attributes of energy systems ranging from the extraction of raw materials from the ground to the use of the energy carrier to perform work (commonly referred to as the “life cycle” of a product). Results are used to inform research at NETL and evaluate energy options from a National perspective.",public,National Energy Technology Laboratory,Tim Skone,Timothy.Skone@netl.doe.gov,015:11
Natural Gas Import & Export Regulation - Authorizations,Authorizations related to the import and export of natural gas.,public,DOE/Office of Fossil Energy,Eugene Duah,eugene.duah@hq.doe.gov,019:20
Northeast Home Heating Oil Reserve System,An on-line anonymous open bidding system used for emergency sales of product from the Northeast Home Heating Oil Reserve.,restricted public,DOE/Office of Fossil Energy,Eugene Duah,eugene.duah@hq.doe.gov,015:11
Office of the Chief Financial Officer Website,"The mission of the Office of the Chief Financial Officer is to assure the effective management and financial integrity of Department of Energy programs, activities, and resources by developing and implementing and monitoring Department-wide policies and systems in the areas of budget administration, program analysis and evaluation, finance and accounting, internal controls, corporate financial systems, and strategic planning.",public,DOE Office of Chief Financial Officer,"Kelsey Simmons, Webmaster",kelsey.simmons@hq.doe.gov,019:60
HC Website,"The Office of the Chief Human Capital Officer (OCHCO) provides effective leadership on policies, programs, and partnerships related to all aspects of human capital management. We support the Department in achieving its mission by proactively planning, recruiting, developing, and retaining the best workforce possible.",public,DOE Office of Chief Human Capital Officer,Tony Nguyen,tony.nguyen@hq.doe.gov,019:60
Administrative Record Publishing Website,Website that communicates certain Hanford information to the public. Tri-party agreement.,public,DOE/Richland Operations and the Office of River Protection,Debbi Isom,Debra_A_Debbi_Isom@rl.gov,019:10
D&D Knowledge Management Information Tool,To provide single point  access into collective knowledge base of the D&D community for DOE-EM.  System aims to preserve and maintain existing knowledge of D&D workforce and gurantees transfer to future generations.,public,DOE/Office of Environmental Management,Himanshu Upadhyay,upadhyay@fiu.edu,019:10
